date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:44	133/133	---M--	200	added ('OK')	text/plain	etag:%226029357c-85%22	https://spotify-top-song.webnode.fr/robots.txt		(from )
15:37:45	24678/24678	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2014:37:44%20GMT	https://spotify-top-song.webnode.fr/	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/index.html	(from )
15:37:47	50258/50258	---M-Z	200	added ('OK')	text/css	etag:%22e88668580c2587def4a6abe9722f7cac%22	https://d1di2lzuh97fh2.cloudfront.net/files/3e/3e1/3e1vim.css?ph=7c01491f00	G:/discord%20bot/site/top%20song/top%20song/d1di2lzuh97fh2.cloudfront.net/files/3e/3e1/3e1vim1bf5.css	(from https://spotify-top-song.webnode.fr/)
15:37:47	445199/445199	---M-Z	200	added ('OK')	text/css	etag:%229daf452f5d70cddd43148e5b7bb55880%22	https://d1di2lzuh97fh2.cloudfront.net/files/3n/3na/3naw5j.css?ph=7c01491f00	G:/discord%20bot/site/top%20song/top%20song/d1di2lzuh97fh2.cloudfront.net/files/3n/3na/3naw5j1bf5.css	(from https://spotify-top-song.webnode.fr/)
15:37:48	26765/26765	---M-Z	200	added ('OK')	text/css	etag:%22e2cf9c4a31ad6a12909cfeb6c848d920%22	https://d1di2lzuh97fh2.cloudfront.net/files/08/08r/08rylj.css?ph=7c01491f00	G:/discord%20bot/site/top%20song/top%20song/d1di2lzuh97fh2.cloudfront.net/files/08/08r/08rylj1bf5.css	(from https://spotify-top-song.webnode.fr/)
15:37:49	105370/105370	---M-Z	200	added ('OK')	text/css	etag:%2269dc70bc21e19c740efc3962e8df71c4%22	https://d1di2lzuh97fh2.cloudfront.net/files/0u/0uv/0uvsyb.css?ph=7c01491f00	G:/discord%20bot/site/top%20song/top%20song/d1di2lzuh97fh2.cloudfront.net/files/0u/0uv/0uvsyb1bf5.css	(from https://spotify-top-song.webnode.fr/)
15:37:49	337608/337608	---M-Z	200	added ('OK')	text/css	etag:%22855f1a9fb184bda826389ba60c7fd4ec%22	https://d1di2lzuh97fh2.cloudfront.net/files/3r/3rx/3rxsz1.css?ph=7c01491f00	G:/discord%20bot/site/top%20song/top%20song/d1di2lzuh97fh2.cloudfront.net/files/3r/3rx/3rxsz11bf5.css	(from https://spotify-top-song.webnode.fr/)
15:37:51	29280/29280	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Feb%202021%2014:37:50%20GMT	https://use.typekit.net/njp4uhl.css	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/njp4uhl.css	(from https://spotify-top-song.webnode.fr/)
15:37:53	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	http://www.google-analytics.com/analytics.js	G:/discord%20bot/site/top%20song/top%20song/www.google-analytics.com/analytics.js	(from https://spotify-top-song.webnode.fr/)
15:37:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Feb%202021%2014:37:51%20GMT	https://spotify-top-song.webnode.fr/wnd_header.set	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/wnd_header.set	(from https://spotify-top-song.webnode.fr/)
15:37:56	23809/23809	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Feb%202021%2014:37:53%20GMT	https://spotify-top-song.webnode.fr/wnd_header.set/	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/wnd_header.set/index.html	(from https://spotify-top-song.webnode.fr/)
15:37:57	8258/8258	---M--	200	added ('OK')	image/png	etag:%226029236e-2042%22	https://spotify-top-song.webnode.fr/_files/200000000-13a1913a1b/200/image_2021-02-14_141941.png	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/_files/200000000-13a1913a1b/200/image_2021-02-14_141941.png	(from https://spotify-top-song.webnode.fr/)
15:37:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Feb%202021%2014:37:58%20GMT	https://spotify-top-song.webnode.fr/home/	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/home/index.html	(from https://spotify-top-song.webnode.fr/)
15:37:58	298788/298788	---M-Z	200	added ('OK')	application/javascript	etag:%226867bd2eed97b58598f90ce1386f16d6%22	https://d1di2lzuh97fh2.cloudfront.net/files/02/021/0210xh.js?ph=7c01491f00	G:/discord%20bot/site/top%20song/top%20song/d1di2lzuh97fh2.cloudfront.net/files/02/021/0210xh1bf5.js	(from https://spotify-top-song.webnode.fr/)
15:37:59	26764/26764	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2014:37:58%20GMT	https://spotify-top-song.webnode.fr/a-propos/	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/a-propos/index.html	(from https://spotify-top-song.webnode.fr/)
